icij_sar_id,filer_org_name_id,filer_org_name,entity_b_id,entity_b,entity_b_country,entity_b_iso_code
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,dbs-bank-china-ltd-shanghai-br-shanghai-china-chn,DBS  Bank,China,CHN
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,ppf-banka-as-prague-czech-republic-cze,PPF Banka A.S. ,Czech Republic,CZE
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,hang-seng-bank-hong-kong-hkg,Hang Seng Bank,Hong Kong,HKG
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,sberbank-of-russia-moscow-russia-rus,Sberbank of Russia,Russia,RUS
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,bank-of-communications-co-shanghai-china-chn,Bank of Communications Co,China,CHN
3648,deutsche-bank-ag,Deutsche Bank AG,danske-bank-as-estonia-est,Danske Bank AS,Estonia,EST
3648,deutsche-bank-ag,Deutsche Bank AG,trasta-komercbanka-latvia-lva,Trasta Komercbanka,Latvia,LVA
3648,deutsche-bank-ag,Deutsche Bank AG,regionala-investicij-banka-latvia-lva,Regionala Investicij Banka,Latvia,LVA
3648,deutsche-bank-ag,Deutsche Bank AG,as-privatbank-latvia-lva,AS PrivatBank,Latvia,LVA
3648,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-ag-abu-dhabi-uae-are,Deutsche Bank AG,United Arab Emirates,ARE
3666,deutsche-bank-ag,Deutsche Bank AG,bank-of-georgia-georgia-geo,Bank of Georgia,Georgia,GEO
3666,deutsche-bank-ag,Deutsche Bank AG,abn-amro-bank-nv-netherlands-nld,ABN Amro Bank N.V.,Netherlands,NLD
3666,deutsche-bank-ag,Deutsche Bank AG,natl-bk-for-foreign-economic-activi-uzbekistan-uzb,Natl Bk For Foreign Economic Activi,Uzbekistan,UZB
3666,deutsche-bank-ag,Deutsche Bank AG,fx4cash-smart-convert-re-mtna-uk-gbr,Fx4Cash Smart Convert Re Mtna,United Kingdom,GBR
3666,deutsche-bank-ag,Deutsche Bank AG,societe-generale-france-fra,Societe Generale,France,FRA
3666,deutsche-bank-ag,Deutsche Bank AG,bank-leumi-le-israel-bm-israel-isr,Bank Leumi Le Israel Bm,Israel,ISR
3666,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-china-co-ltd-beijing-china-chn,Deutsche Bank,China,CHN
